group_key,guard,detail
DESVENLAFAXINE | TABLET (MODIFIED RELEASE) 50 MG (AS BENZOATE),no_substitution,"30-day mean 21022 -> 21992, did not fall"
DESVENLAFAXINE | TABLET (MODIFIED RELEASE) 50 MG (AS BENZOATE),low_uptake,60-day share 2.4% of group volume
"DEXTRAN-70 + HYPROMELLOSE | EYE DROPS CONTAINING 3 MG HYPROMELLOSE 4500 WITH 1 MG DEXTRAN 70 PER ML, 15 ML",no_substitution,"30-day mean 9573 -> 10532, did not fall"
"DEXTRAN-70 + HYPROMELLOSE | EYE DROPS CONTAINING 3 MG HYPROMELLOSE 4500 WITH 1 MG DEXTRAN 70 PER ML, 15 ML",low_uptake,60-day share 4.3% of group volume
DILTIAZEM | CAPSULE (CONTROLLED DELIVERY) CONTAINING DILTIAZEM HYDROCHLORIDE 240 MG,low_uptake,60-day share 4.5% of group volume
DILTIAZEM | CAPSULE (CONTROLLED DELIVERY) CONTAINING DILTIAZEM HYDROCHLORIDE 360 MG,low_uptake,60-day share 4.7% of group volume
DILTIAZEM | TABLET CONTAINING DILTIAZEM HYDROCHLORIDE 60 MG,low_uptake,60-day share 3.1% of group volume
"DORZOLAMIDE + TIMOLOL | EYE DROPS CONTAINING DORZOLAMIDE 20 MG (AS HYDROCHLORIDE) WITH TIMOLOL 5 MG (AS MALEATE) PER ML, 5 ML",low_uptake,60-day share 3.8% of group volume
"DORZOLAMIDE | EYE DROPS 20 MG (AS HYDROCHLORIDE) PER ML, 5 ML",low_uptake,60-day share 2.3% of group volume
DOXYCYCLINE | CAPSULE 100 MG (AS HYCLATE) (CONTAINING ENTERIC COATED PELLETS),low_uptake,60-day share 0.6% of group volume
DOXYCYCLINE | CAPSULE 50 MG (AS HYCLATE) (CONTAINING ENTERIC COATED PELLETS),low_uptake,60-day share 4.6% of group volume
DOXYCYCLINE | TABLET 100 MG (AS HYCLATE),low_uptake,60-day share 1.2% of group volume
DOXYCYCLINE | TABLET 100 MG (AS MONOHYDRATE),low_uptake,60-day share 1.2% of group volume
DOXYCYCLINE | TABLET 50 MG (AS HYCLATE),no_substitution,"30-day mean 32011 -> 32099, did not fall"
DUTASTERIDE + TAMSULOSIN | CAPSULE CONTAINING DUTASTERIDE 500 MICROGRAMS WITH TAMSULOSIN HYDROCHLORIDE 400 MICROGRAMS,no_substitution,"30-day mean 179676 -> 183331, did not fall"
DUTASTERIDE + TAMSULOSIN | CAPSULE CONTAINING DUTASTERIDE 500 MICROGRAMS WITH TAMSULOSIN HYDROCHLORIDE 400 MICROGRAMS,low_uptake,60-day share 2.7% of group volume
DUTASTERIDE | CAPSULE 500 MICROGRAMS,no_substitution,"30-day mean 8817 -> 10190, did not fall"
DUTASTERIDE | CAPSULE 500 MICROGRAMS,low_uptake,60-day share 3.3% of group volume
EMPAGLIFLOZIN + LINAGLIPTIN | TABLET CONTAINING 10 MG EMPAGLIFLOZIN WITH 5 MG LINAGLIPTIN,low_uptake,60-day share 4.9% of group volume
EMPAGLIFLOZIN + METFORMIN | TABLET CONTAINING 12.5 MG EMPAGLIFLOZIN WITH 1 G METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.6% of group volume
EMPAGLIFLOZIN + METFORMIN | TABLET CONTAINING 12.5 MG EMPAGLIFLOZIN WITH 500 MG METFORMIN HYDROCHLORIDE,no_substitution,"30-day mean 10024 -> 10107, did not fall"
EMPAGLIFLOZIN + METFORMIN | TABLET CONTAINING 12.5 MG EMPAGLIFLOZIN WITH 500 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 4.2% of group volume
EMPAGLIFLOZIN + METFORMIN | TABLET CONTAINING 5 MG EMPAGLIFLOZIN WITH 1 G METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.5% of group volume
EMPAGLIFLOZIN + METFORMIN | TABLET CONTAINING 5 MG EMPAGLIFLOZIN WITH 500 MG METFORMIN HYDROCHLORIDE,no_substitution,"30-day mean 11341 -> 11349, did not fall"
EMPAGLIFLOZIN + METFORMIN | TABLET CONTAINING 5 MG EMPAGLIFLOZIN WITH 500 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 4.0% of group volume
EMPAGLIFLOZIN | TABLET 10 MG,no_substitution,"30-day mean 83744 -> 91225, did not fall"
EMPAGLIFLOZIN | TABLET 25 MG,low_uptake,60-day share 3.7% of group volume
ENTACAPONE | TABLET 200 MG,low_uptake,60-day share 3.0% of group volume
EPROSARTAN | TABLET 600 MG (AS MESILATE),no_substitution,"30-day mean 128 -> 239, did not fall"
ERYTHROMYCIN | CAPSULE 250 MG (CONTAINING ENTERIC COATED PELLETS),low_uptake,60-day share 3.1% of group volume
"ESCITALOPRAM | ORAL SOLUTION 20 MG (AS OXALATE) PER ML, 15 ML",no_substitution,"30-day mean 1753 -> 1766, did not fall"
"ESCITALOPRAM | ORAL SOLUTION 20 MG (AS OXALATE) PER ML, 15 ML",low_uptake,60-day share 4.0% of group volume
ESCITALOPRAM | TABLET 10 MG (AS OXALATE),low_uptake,60-day share 2.6% of group volume
ESCITALOPRAM | TABLET 20 MG (AS OXALATE),low_uptake,60-day share 3.1% of group volume
ESOMEPRAZOLE | CAPSULE (ENTERIC) 20 MG (AS MAGNESIUM),low_uptake,60-day share 1.6% of group volume
ESOMEPRAZOLE | CAPSULE (ENTERIC) 40 MG (AS MAGNESIUM),no_substitution,"30-day mean 19542 -> 20582, did not fall"
ESOMEPRAZOLE | CAPSULE (ENTERIC) 40 MG (AS MAGNESIUM),low_uptake,60-day share 0.1% of group volume
ESOMEPRAZOLE | TABLET (ENTERIC COATED) 20 MG (AS MAGNESIUM),low_uptake,60-day share 1.8% of group volume
ESOMEPRAZOLE | TABLET (ENTERIC COATED) 40 MG (AS MAGNESIUM),low_uptake,60-day share 0.7% of group volume
ESTRADIOL (&) ESTRADIOL + DYDROGESTERONE | PACK CONTAINING 14 TABLETS ESTRADIOL 1 MG AND 14 TABLETS ESTRADIOL 1 MG WITH DYDROGESTERONE 10 MG,no_substitution,"30-day mean 4991 -> 5875, did not fall"
ESTRADIOL (&) ESTRADIOL + DYDROGESTERONE | PACK CONTAINING 14 TABLETS ESTRADIOL 2 MG AND 14 TABLETS ESTRADIOL 2 MG WITH DYDROGESTERONE 10 MG,no_substitution,"30-day mean 3779 -> 4293, did not fall"
"ESTRADIOL + NORETHISTERONE ACETATE | TRANSDERMAL PATCHES CONTAINING 510 MICROGRAMS ESTRADIOL (AS HEMIHYDRATE) WITH 4.8 MG NORETHISTERONE ACETATE, 8",no_substitution,"30-day mean 3016 -> 3998, did not fall"
ESTRADIOL | TABLET CONTAINING ESTRADIOL VALERATE 1 MG,low_uptake,60-day share 3.6% of group volume
"ESTRADIOL | TRANSDERMAL GEL 1 MG (AS HEMIHYDRATE) IN 1 G SACHET, 28",no_substitution,"30-day mean 14290 -> 16350, did not fall"
EZETIMIBE + SIMVASTATIN | TABLET 10 MG-40 MG,low_uptake,60-day share 4.9% of group volume
EZETIMIBE + SIMVASTATIN | TABLET 10 MG-80 MG,low_uptake,60-day share 4.5% of group volume
FEBUXOSTAT | TABLET 80 MG,low_uptake,60-day share 4.6% of group volume
FENOFIBRATE | TABLET 48 MG,low_uptake,60-day share 3.3% of group volume
